epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,411.871,2.65101,4.14498,1.44215,1.23177,0.41604,0.3899,0.38059,0.15406,0.23846,0.28754,0.27285,0.08165,2.93697,4.67552,1.38593,1.24807,0.00127254,0.00127254,0.00127254
66,418.164,2.63685,4.19693,1.44699,1.22919,0.68929,0.31931,0.39522,0.17515,0.60581,0.21567,0.23151,0.0704,2.85226,4.60339,1.36709,1.20529,0.00126578,0.00126578,0.00126578
67,424.211,2.79311,4.29551,1.56763,1.19194,0.68929,0.31931,0.39522,0.17515,0.60581,0.21567,0.23151,0.0704,2.85226,4.60339,1.36709,1.20529,0.00125893,0.00125893,0.00125893
68,430.427,2.57921,4.13862,1.4435,1.20037,0.46383,0.36993,0.39385,0.19816,0.34361,0.22607,0.23912,0.06301,2.70063,4.54948,1.37254,1.19549,0.00125201,0.00125201,0.00125201
69,437.45,2.72766,4.20059,1.46336,1.22072,0.46383,0.36993,0.39385,0.19816,0.34361,0.22607,0.23912,0.06301,2.70063,4.54948,1.37254,1.19549,0.00124501,0.00124501,0.00124501
70,444.42,2.61683,4.12338,1.46111,1.2164,0.44384,0.38874,0.38378,0.18868,0.35184,0.28031,0.27541,0.08336,2.72527,4.49403,1.39056,1.18463,0.00123794,0.00123794,0.00123794
71,451.397,2.61874,4.12017,1.43685,1.22346,0.44384,0.38874,0.38378,0.18868,0.35184,0.28031,0.27541,0.08336,2.72527,4.49403,1.39056,1.18463,0.00123079,0.00123079,0.00123079
72,458.307,2.67033,4.10352,1.42055,1.22483,0.44384,0.38874,0.38378,0.18868,0.35184,0.28031,0.27541,0.08336,2.72527,4.49403,1.39056,1.18463,0.00122356,0.00122356,0.00122356
73,464.838,2.55764,4.09774,1.40475,1.20206,0.41281,0.41077,0.39394,0.19225,0.3142,0.28845,0.27793,0.10348,2.75525,4.51357,1.36324,1.19485,0.00121626,0.00121626,0.00121626
74,471.468,2.63935,4.12084,1.48271,1.22592,0.41281,0.41077,0.39394,0.19225,0.3142,0.28845,0.27793,0.10348,2.75525,4.51357,1.36324,1.19485,0.00120889,0.00120889,0.00120889
75,478.312,2.72602,4.10285,1.41225,1.19049,0.52801,0.38105,0.41303,0.18713,0.31023,0.26355,0.24517,0.09132,2.77541,4.48654,1.32112,1.18043,0.00120144,0.00120144,0.00120144
76,484.906,2.67311,4.11853,1.38645,1.18912,0.52801,0.38105,0.41303,0.18713,0.31023,0.26355,0.24517,0.09132,2.77541,4.48654,1.32112,1.18043,0.00119393,0.00119393,0.00119393
77,491.475,2.70962,4.08851,1.41306,1.17092,0.46535,0.38746,0.42394,0.19453,0.34143,0.22576,0.23623,0.08025,2.75871,4.38635,1.32074,1.17489,0.00118635,0.00118635,0.00118635
78,498.001,2.60235,3.99539,1.41476,1.18136,0.46535,0.38746,0.42394,0.19453,0.34143,0.22576,0.23623,0.08025,2.75871,4.38635,1.32074,1.17489,0.0011787,0.0011787,0.0011787
79,505.119,2.49809,3.92941,1.34896,1.1754,0.58368,0.38119,0.42382,0.2032,0.30901,0.26144,0.2715,0.08777,2.72944,4.2713,1.31149,1.16881,0.00117098,0.00117098,0.00117098
80,512.127,2.55776,3.95829,1.36688,1.1629,0.58368,0.38119,0.42382,0.2032,0.30901,0.26144,0.2715,0.08777,2.72944,4.2713,1.31149,1.16881,0.0011632,0.0011632,0.0011632
81,518.514,2.65133,4.02263,1.41362,1.19682,0.51639,0.40637,0.43125,0.21394,0.36558,0.2744,0.29632,0.10228,2.62659,4.2409,1.30003,1.15198,0.00115535,0.00115535,0.00115535
82,524.978,2.58074,3.99988,1.38329,1.18732,0.51639,0.40637,0.43125,0.21394,0.36558,0.2744,0.29632,0.10228,2.62659,4.2409,1.30003,1.15198,0.00114744,0.00114744,0.00114744
83,531.614,2.49283,3.90121,1.32576,1.16135,0.48685,0.40105,0.45233,0.21185,0.39783,0.29291,0.29961,0.09769,2.686,4.18904,1.28775,1.1433,0.00113947,0.00113947,0.00113947
84,537.875,2.42409,3.75952,1.36751,1.17834,0.48685,0.40105,0.45233,0.21185,0.39783,0.29291,0.29961,0.09769,2.686,4.18904,1.28775,1.1433,0.00113144,0.00113144,0.00113144
85,544.108,2.46917,3.82002,1.342,1.17161,0.42974,0.41745,0.4202,0.20577,0.32676,0.29925,0.28905,0.09322,2.64091,4.20077,1.32698,1.14399,0.00112335,0.00112335,0.00112335
86,550.563,2.62674,3.97956,1.36758,1.18534,0.42974,0.41745,0.4202,0.20577,0.32676,0.29925,0.28905,0.09322,2.64091,4.20077,1.32698,1.14399,0.0011152,0.0011152,0.0011152
87,556.963,2.57272,3.89715,1.37001,1.17827,0.42974,0.41745,0.4202,0.20577,0.32676,0.29925,0.28905,0.09322,2.64091,4.20077,1.32698,1.14399,0.001107,0.001107,0.001107
88,563.615,2.39741,3.76081,1.30585,1.17125,0.60394,0.35817,0.41696,0.2153,0.36078,0.26685,0.27205,0.08649,2.58535,4.14415,1.28792,1.1441,0.00109874,0.00109874,0.00109874
89,569.739,2.51682,3.85508,1.34537,1.18247,0.60394,0.35817,0.41696,0.2153,0.36078,0.26685,0.27205,0.08649,2.58535,4.14415,1.28792,1.1441,0.00109042,0.00109042,0.00109042
90,576.147,2.46785,3.84637,1.31952,1.18808,0.50835,0.45015,0.43514,0.21304,0.3774,0.25418,0.28511,0.09179,2.59821,4.15258,1.29709,1.17603,0.00108206,0.00108206,0.00108206
91,582.229,2.41197,3.75036,1.29974,1.19766,0.50835,0.45015,0.43514,0.21304,0.3774,0.25418,0.28511,0.09179,2.59821,4.15258,1.29709,1.17603,0.00107364,0.00107364,0.00107364
92,588.547,2.53238,3.8587,1.31064,1.19809,0.51086,0.43759,0.44903,0.21036,0.41238,0.32826,0.32153,0.11394,2.62538,4.12096,1.28857,1.18857,0.00106517,0.00106517,0.00106517
93,595.137,2.4694,3.84909,1.28658,1.20107,0.51086,0.43759,0.44903,0.21036,0.41238,0.32826,0.32153,0.11394,2.62538,4.12096,1.28857,1.18857,0.00105666,0.00105666,0.00105666
94,602.271,2.48802,3.77041,1.31831,1.19386,0.54865,0.44793,0.471,0.21371,0.39194,0.33872,0.3349,0.11224,2.58702,4.10104,1.25537,1.15182,0.00104809,0.00104809,0.00104809
95,609.047,2.42871,3.78516,1.33495,1.1977,0.54865,0.44793,0.471,0.21371,0.39194,0.33872,0.3349,0.11224,2.58702,4.10104,1.25537,1.15182,0.00103949,0.00103949,0.00103949
96,615.947,2.52801,3.84447,1.30602,1.17211,0.52611,0.46772,0.45965,0.22064,0.35102,0.32652,0.32094,0.10271,2.58223,4.07678,1.24223,1.13533,0.00103083,0.00103083,0.00103083
97,622.237,2.52673,3.84543,1.28102,1.1644,0.52611,0.46772,0.45965,0.22064,0.35102,0.32652,0.32094,0.10271,2.58223,4.07678,1.24223,1.13533,0.00102214,0.00102214,0.00102214
98,628.737,2.34423,3.73315,1.25009,1.14763,0.52546,0.47628,0.47285,0.21669,0.38232,0.31592,0.31165,0.09503,2.50998,4.07383,1.22985,1.13832,0.0010134,0.0010134,0.0010134
99,636.441,2.60437,3.91227,1.29218,1.15819,0.52546,0.47628,0.47285,0.21669,0.38232,0.31592,0.31165,0.09503,2.50998,4.07383,1.22985,1.13832,0.00100462,0.00100462,0.00100462
100,644.282,2.43198,3.73564,1.24813,1.15405,0.53748,0.44997,0.4694,0.22523,0.37335,0.31569,0.30602,0.09978,2.48288,4.03373,1.24301,1.14436,0.000995801,0.000995801,0.000995801
101,650.758,2.45336,3.78184,1.22939,1.15912,0.53748,0.44997,0.4694,0.22523,0.37335,0.31569,0.30602,0.09978,2.48288,4.03373,1.24301,1.14436,0.000986945,0.000986945,0.000986945
102,657.204,2.43875,3.72408,1.24139,1.1577,0.51806,0.44694,0.46024,0.23061,0.35582,0.34598,0.30007,0.10688,2.45873,3.97129,1.24521,1.10444,0.000978053,0.000978053,0.000978053
103,663.749,2.40576,3.67102,1.3278,1.16628,0.51806,0.44694,0.46024,0.23061,0.35582,0.34598,0.30007,0.10688,2.45873,3.97129,1.24521,1.10444,0.000969127,0.000969127,0.000969127
104,670.382,2.29365,3.63715,1.28765,1.16431,0.51806,0.44694,0.46024,0.23061,0.35582,0.34598,0.30007,0.10688,2.45873,3.97129,1.24521,1.10444,0.000960167,0.000960167,0.000960167
105,677.162,2.41612,3.69292,1.24814,1.14939,0.49312,0.46578,0.46124,0.22643,0.40677,0.38524,0.36863,0.12335,2.46507,3.96208,1.21511,1.11805,0.000951175,0.000951175,0.000951175
106,683.915,2.32521,3.61543,1.22554,1.13737,0.49312,0.46578,0.46124,0.22643,0.40677,0.38524,0.36863,0.12335,2.46507,3.96208,1.21511,1.11805,0.000942152,0.000942152,0.000942152
107,690.421,2.32648,3.66391,1.23673,1.14984,0.49009,0.48981,0.47593,0.23513,0.43232,0.3653,0.36922,0.12754,2.47446,3.9407,1.20956,1.13366,0.000933101,0.000933101,0.000933101
108,696.717,2.37766,3.6605,1.25943,1.15298,0.49009,0.48981,0.47593,0.23513,0.43232,0.3653,0.36922,0.12754,2.47446,3.9407,1.20956,1.13366,0.000924021,0.000924021,0.000924021
109,702.856,2.45019,3.73012,1.28172,1.16513,0.52012,0.44086,0.46352,0.23222,0.37478,0.32579,0.30388,0.10576,2.48901,3.93514,1.21089,1.13359,0.000914915,0.000914915,0.000914915
110,710.192,2.42381,3.68391,1.22249,1.14267,0.52012,0.44086,0.46352,0.23222,0.37478,0.32579,0.30388,0.10576,2.48901,3.93514,1.21089,1.13359,0.000905785,0.000905785,0.000905785
111,716.849,2.39479,3.70694,1.2097,1.15953,0.46294,0.46526,0.46228,0.23035,0.35477,0.30087,0.29057,0.10293,2.49115,3.91198,1.21603,1.12536,0.000896631,0.000896631,0.000896631
112,723.291,2.36497,3.58527,1.23331,1.13281,0.46294,0.46526,0.46228,0.23035,0.35477,0.30087,0.29057,0.10293,2.49115,3.91198,1.21603,1.12536,0.000887455,0.000887455,0.000887455
113,729.37,2.40862,3.65701,1.21623,1.13182,0.50102,0.45541,0.45952,0.23776,0.40645,0.36462,0.35695,0.11756,2.45846,3.89918,1.20785,1.11941,0.000878258,0.000878258,0.000878258
114,735.395,2.32771,3.67791,1.22028,1.14687,0.50102,0.45541,0.45952,0.23776,0.40645,0.36462,0.35695,0.11756,2.45846,3.89918,1.20785,1.11941,0.000869042,0.000869042,0.000869042
115,741.508,2.33137,3.64913,1.21576,1.14182,0.54871,0.47027,0.47097,0.24461,0.4387,0.38231,0.36934,0.11996,2.47104,3.91738,1.18015,1.13152,0.000859809,0.000859809,0.000859809
116,747.816,2.4274,3.673,1.222,1.13999,0.54871,0.47027,0.47097,0.24461,0.4387,0.38231,0.36934,0.11996,2.47104,3.91738,1.18015,1.13152,0.00085056,0.00085056,0.00085056
117,754.05,2.32359,3.70023,1.2016,1.15044,0.52569,0.47469,0.4724,0.24498,0.45345,0.3871,0.371,0.12571,2.44585,3.91516,1.18348,1.12598,0.000841296,0.000841296,0.000841296
118,760.622,2.29619,3.6577,1.18961,1.14518,0.52569,0.47469,0.4724,0.24498,0.45345,0.3871,0.371,0.12571,2.44585,3.91516,1.18348,1.12598,0.000832019,0.000832019,0.000832019
119,767.155,2.38826,3.70201,1.26449,1.14057,0.52569,0.47469,0.4724,0.24498,0.45345,0.3871,0.371,0.12571,2.44585,3.91516,1.18348,1.12598,0.00082273,0.00082273,0.00082273
120,773.872,2.30084,3.57622,1.18624,1.13078,0.53373,0.481,0.47787,0.24561,0.40933,0.35478,0.34637,0.12394,2.42148,3.8452,1.18298,1.11289,0.00081343,0.00081343,0.00081343
121,779.91,2.21499,3.4873,1.17735,1.13371,0.53373,0.481,0.47787,0.24561,0.40933,0.35478,0.34637,0.12394,2.42148,3.8452,1.18298,1.11289,0.000804122,0.000804122,0.000804122
122,786.016,2.25427,3.57289,1.16235,1.13841,0.48952,0.4854,0.46308,0.24882,0.37543,0.34177,0.33517,0.11561,2.41717,3.86378,1.18443,1.1013,0.000794806,0.000794806,0.000794806
123,792.099,2.35594,3.62698,1.16592,1.11545,0.48952,0.4854,0.46308,0.24882,0.37543,0.34177,0.33517,0.11561,2.41717,3.86378,1.18443,1.1013,0.000785485,0.000785485,0.000785485
124,798.325,2.25834,3.54955,1.18778,1.12841,0.51335,0.48242,0.46934,0.24574,0.42097,0.34082,0.33556,0.11192,2.43776,3.8478,1.17876,1.11616,0.000776159,0.000776159,0.000776159
125,804.626,2.28093,3.52997,1.159,1.12221,0.51335,0.48242,0.46934,0.24574,0.42097,0.34082,0.33556,0.11192,2.43776,3.8478,1.17876,1.11616,0.00076683,0.00076683,0.00076683
126,811.372,2.17707,3.478,1.15688,1.1326,0.50824,0.46761,0.47594,0.2464,0.40524,0.35687,0.33921,0.11128,2.45756,3.81376,1.17259,1.14245,0.0007575,0.0007575,0.0007575
127,817.545,2.36481,3.59521,1.14532,1.12666,0.50824,0.46761,0.47594,0.2464,0.40524,0.35687,0.33921,0.11128,2.45756,3.81376,1.17259,1.14245,0.00074817,0.00074817,0.00074817
128,824.292,2.26874,3.59299,1.13707,1.13018,0.52774,0.49977,0.49644,0.24293,0.42044,0.34782,0.34901,0.11026,2.45242,3.78532,1.17032,1.12487,0.000738841,0.000738841,0.000738841
129,830.501,2.28414,3.59116,1.16024,1.11621,0.52774,0.49977,0.49644,0.24293,0.42044,0.34782,0.34901,0.11026,2.45242,3.78532,1.17032,1.12487,0.000729515,0.000729515,0.000729515
130,836.409,2.22388,3.54948,1.18419,1.14295,0.51709,0.50981,0.50369,0.24719,0.37951,0.38097,0.34021,0.10743,2.40533,3.74054,1.17006,1.11323,0.000720194,0.000720194,0.000720194
131,842.253,2.29385,3.55733,1.15045,1.12416,0.51709,0.50981,0.50369,0.24719,0.37951,0.38097,0.34021,0.10743,2.40533,3.74054,1.17006,1.11323,0.000710878,0.000710878,0.000710878
132,848.417,2.28125,3.66532,1.16667,1.1084,0.53859,0.48276,0.50054,0.24678,0.41341,0.37812,0.34277,0.1077,2.41566,3.75769,1.17429,1.10587,0.00070157,0.00070157,0.00070157
